Record ID,store_name,Store Type,Street Number,Street Name,Additional Address,city,state,Zip Code,Zip4,County,latitude,longitude,Authorization Date,End Date
759334,1216 C & A Grocery Corp  ,Small Grocery Store,1216,Olmstead Ave, ,Bronx,NY,10462,4604,BRONX,40.83209,-73.85419,8/17/2005,7/26/2006
1489640,1217 Goris Deli Food Corp.  ,Convenience Store,1217,Sherman Ave,,Bronx,NY,10456,3001,BRONX,40.83414,-73.91582,4/4/2022,12/14/2023
1363856,1217 Guzman Deli Food Corp.  ,Convenience Store,1217,Sherman Ave, ,Bronx,NY,10456,3001,BRONX,40.83401,-73.9158,6/24/2019,7/28/2020
713881,1221 FTELEY FD CORP/FINE FARE  ,Super Store,1221,Fteley Ave, ,Bronx,NY,10472,4403,BRONX,40.82953,-73.8718,8/3/1993, 
1447626,1223 Je Deli Grocery Corp. ,Convenience Store,1223,Boston Rd,,Bronx,NY,10456,3601,BRONX,40.82993,-73.90229,7/30/2021, 
449001,1225 DELI GROCERY CORP  ,Small Grocery Store,1225,Fulton Ave, ,Bronx,NY,10456,3401,BRONX,40.83074,-73.90448,8/23/2004,5/29/2006
766798,1225 Ogden Deli Grocery Corp  ,Small Grocery Store,1225,Ogden Ave, ,Bronx,NY,10452,3500,BRONX,40.8384,-73.92634,10/4/2005,5/22/2011
1201182,123 Meat Fruit &Vegetable Corp/Antillana Meat Mkt  ,Super Store,123,W Kingsbridge Rd, ,Bronx,NY,10468,3907,BRONX,40.86879,-73.9025,7/6/2015, 
804019,124 HAPPY DELI GROCERY INC  ,Small Grocery Store,124,E 183rd St, ,Bronx,NY,10453,1237,BRONX,40.85787,-73.90145,12/1/2006,11/15/2010
1068838,124 Meat Food Corp/Shop Fresh Food Marketplace  ,Super Store,124,W Fordham Rd,,Bronx,NY,10468,5659,BRONX,40.86277,-73.90652,8/27/2012, 
1136766,124 Stop 1 Deli Inc  ,Combination Grocery/Other,124,E 183rd St, ,Bronx,NY,10453,1237,BRONX,40.85789,-73.90144,7/1/2014,11/23/2021
1329714,"124-176 Morris Grocery, Corp.  ",Convenience Store,124,E 176th St, ,Bronx,NY,10453,6205,BRONX,40.84804,-73.9088,10/25/2018,8/15/2021
1344890,1240 Deli Corp  ,Convenience Store,1240,Union Ave,,Bronx,NY,10459,2218,BRONX,40.82988,-73.89877,1/28/2019, 
392089,1240 DELI GROCERY CORP  ,Small Grocery Store,1240,Union Ave, ,Bronx,NY,10459,2218,BRONX,40.82983,-73.89887,2/12/2004,7/24/2013
1073023,1240 Mini Market Deli Corp  ,Small Grocery Store,1639,Westchester Ave, ,Bronx,NY,10472,2916,BRONX,40.82975,-73.87389,11/2/2012,1/16/2017
1364503,1247 Deli & Grocery Corp  ,Small Grocery Store,1247,Webster Ave, ,Bronx,NY,10456,3393,BRONX,40.83312,-73.90917,6/17/2019,3/31/2020
1364503,1247 Deli & Grocery Corp  ,Small Grocery Store,1247,Webster Ave, ,Bronx,NY,10456,3393,BRONX,40.83312,-73.90917,6/23/2020,9/15/2020
1449033,1247 Deli & Grocery Corp  ,Small Grocery Store,1247,Webster Ave,,Bronx,NY,10456,3393,BRONX,40.83321,-73.90932,5/13/2021, 
377647,1247 FOOD MARKET CORP  ,Convenience Store,1247,Webster Ave, ,Bronx,NY,10456,3393,BRONX,40.83312,-73.90918,12/18/2003,11/6/2005
