GEOID,NAME,B11001_001E,source,year
36005038500,"Census Tract 385, Bronx, NY",1884.0,censusreporter:acs2024_5yr,2024
36005038600,"Census Tract 386, Bronx, NY",2869.0,censusreporter:acs2024_5yr,2024
36005038700,"Census Tract 387, Bronx, NY",1481.0,censusreporter:acs2024_5yr,2024
36005038800,"Census Tract 388, Bronx, NY",990.0,censusreporter:acs2024_5yr,2024
36005038900,"Census Tract 389, Bronx, NY",1954.0,censusreporter:acs2024_5yr,2024
36005039000,"Census Tract 390, Bronx, NY",1104.0,censusreporter:acs2024_5yr,2024
36005039100,"Census Tract 391, Bronx, NY",3026.0,censusreporter:acs2024_5yr,2024
36005039200,"Census Tract 392, Bronx, NY",634.0,censusreporter:acs2024_5yr,2024
36005039300,"Census Tract 393, Bronx, NY",3092.0,censusreporter:acs2024_5yr,2024
36005039400,"Census Tract 394, Bronx, NY",1701.0,censusreporter:acs2024_5yr,2024
36005039500,"Census Tract 395, Bronx, NY",1821.0,censusreporter:acs2024_5yr,2024
36005039600,"Census Tract 396, Bronx, NY",1436.0,censusreporter:acs2024_5yr,2024
36005039700,"Census Tract 397, Bronx, NY",521.0,censusreporter:acs2024_5yr,2024
36005039800,"Census Tract 398, Bronx, NY",1251.0,censusreporter:acs2024_5yr,2024
36005039901,"Census Tract 399.01, Bronx, NY",1678.0,censusreporter:acs2024_5yr,2024
36005039902,"Census Tract 399.02, Bronx, NY",1727.0,censusreporter:acs2024_5yr,2024
36005040100,"Census Tract 401, Bronx, NY",2172.0,censusreporter:acs2024_5yr,2024
36005040302,"Census Tract 403.02, Bronx, NY",1581.0,censusreporter:acs2024_5yr,2024
36005040303,"Census Tract 403.03, Bronx, NY",1375.0,censusreporter:acs2024_5yr,2024
